word_form	all	news	fiction
isa	488	74	414
ise	1173	422	751
isegi	833	284	549
istus	228	14	214
ja	27214	12240	14974
jah	439	58	381
jalad	117	18	99
jaoks	399	202	197
jooksul	423	314	109
ju	1261	347	914
juba	2234	916	1318
juhataja	223	187	36
juhatuse	125	123	2
juht	131	115	16
juhtunud	122	37	85
juhtus	123	44	79
juhul	304	215	89
jumal	137	15	122
just	899	365	534
justkui	193	53	140
jutt	149	46	103
juttu	148	51	97
juurde	699	213	486
juures	491	198	293
jõuab	128	62	66
jõudis	261	90	171
jõudnud	337	134	203
jäi	628	214	414
jäid	164	74	90
jälle	556	98	458
järel	254	117	137
järele	431	92	339
järgi	435	305	130
järgmise	123	93	30
järgmisel	179	108	71
järjest	135	68	67
järsku	101	15	86
jätnud	108	28	80
jätta	175	93	82
jättis	131	48	83
jää	103	45	58
jääb	479	264	215
jääda	204	94	110
jäänud	454	186	268
jäävad	136	96	40
ka	6191	3743	2448
kaasa	473	225	248
kadunud	163	51	112
kadus	98	16	82
kah	98	9	89
kahe	457	298	159
kaheksa	97	61	36
kahju	184	112	72
kahjuks	108	80	28
kaks	971	557	414
kala	95	45	50
kandis	98	30	68
kas	2287	792	1495
kasutada	200	158	42
kaua	204	51	153
kaudu	216	163	53
kaugel	119	45	74
keda	289	128	161
kedagi	201	56	145
keegi	832	242	590
keele	125	89	36
keeles	165	65	100
keelt	154	82	72
keha	171	32	139
kell	314	197	117
kella	163	77	86
kelle	520	281	239
kellega	96	41	55
kellegi	131	39	92
kellel	147	76	71
kellele	162	74	88
kerge	137	48	89
kes	2961	1387	1574
keset	104	21	83
keskel	107	53	54
kevadel	102	76	26
kiiresti	248	97	151
kindel	205	93	112
kindlasti	334	201	133
kinni	518	173	345
kinnitas	290	246	44
kinnitusel	96	96	0
kirja	144	54	90
kirjutada	108	47	61
kirjutas	106	63	43
kivi	95	33	62
kodu	117	36	81
kodus	274	87	187
kogu	863	404	459
koguni	197	49	148
koha	140	86	54
kohal	278	95	183
kohale	252	113	139
kohaselt	215	188	27
kohe	611	165	446
koht	138	76	62
kohta	753	547	206
kohus	99	77	22
koju	295	79	216
kokku	766	428	338
kolm	527	317	210
kolmas	98	63	35
kolme	269	181	88
kombel	97	32	65
kooli	185	134	51
koolis	122	65	57
koos	706	358	348
kord	555	148	407
korda	648	349	299
korra	137	80	57
korraga	211	54	157
korraks	119	21	98
korral	248	169	79
korras	95	54	41
kostis	131	8	123
krooni	1127	1097	30
kuhu	384	110	274
kuhugi	148	27	121
kui	8599	3902	4697
kuid	2341	1275	1066
kuidagi	265	71	194
kuidas	1199	390	809
kuigi	591	270	321
kuna	370	261	109
kunagi	537	167	370
kuni	709	464	245
kus	1483	758	725
kusagil	123	35	88
kust	322	93	229
kuu	236	174	62
kuud	126	76	50
kuulda	126	28	98
kuulnud	137	34	103
kuulub	122	97	25
kuus	194	131	63
kõige	975	495	480
kõigepealt	120	49	71
kõigest	113	29	84
kõigi	182	106	76
kõigile	139	83	56
kõik	1972	691	1281
kõike	220	55	165
kõiki	181	78	103
kõrge	112	43	69
kõrval	322	86	236
kõrvale	257	74	183
käe	192	26	166
käed	184	25	159
käega	153	19	134
käes	273	59	214
käest	206	62	144
käia	113	48	65
käib	183	109	74
käinud	189	67	122
käis	281	89	192
käsi	166	26	140
kätte	345	123	222
külge	125	36	89
küll	1545	536	1009
küllalt	99	35	64
küllap	214	34	180
kümme	144	80	64
küsib	113	20	93
küsida	115	31	84
küsimus	184	128	56
küsis	369	30	339
lahti	505	97	408
laiali	122	38	84
laps	213	82	131
lapse	155	72	83
lapsed	206	106	100
lapsi	114	74	40
lasknud	109	22	87
last	137	62	75
lasta	113	48	65
laste	133	95	38
laua	137	19	118
laupäeval	100	92	8
lausa	208	70	138
lausus	185	97	88
leiab	121	88	33
leida	202	121	81
leidis	191	113	78
leidnud	146	67	79
lepingu	126	121	5
ligi	286	222	64
lihtne	111	60	51
lihtsalt	438	191	247
liidu	218	211	7
liiga	444	190	254
liige	120	113	7
linn	151	101	50
linna	419	240	179
linnapea	101	96	5
linnas	144	56	88
lisaks	275	235	40
lisas	255	197	58
loomulikult	149	89	60
lubas	128	77	51
lugeda	120	58	62
lugu	221	77	144
luua	95	79	16
lõi	168	46	122
lõpuks	420	154	266
lõpuni	111	59	52
lõpus	102	72	30
läbi	1076	431	645
läheb	446	221	225
lähedal	131	72	59
lähen	113	10	103
lähevad	97	57	40
läinud	391	160	231
läks	567	145	422
läksid	124	31	93
läksin	118	23	95
ma	4454	700	3754
maa	384	202	182
maad	122	45	77
maailma	315	174	141
maailmas	171	106	65
maal	107	48	59
maha	631	225	406
maja	443	212	231
majas	121	54	67
maksab	139	112	27
maksma	136	109	27
maksta	108	94	14
me	1102	434	668
meelde	216	61	155
meelest	132	52	80
mees	1082	224	858
meest	229	83	146
meeste	127	78	49
mehe	308	77	231
mehed	316	124	192
meid	252	74	178
meie	1447	715	732
meil	502	296	206
meile	280	130	150
metsa	104	31	73
mida	1762	688	1074
midagi	1978	511	1467
miks	786	270	516
mil	189	115	74
miljardit	100	100	0
miljoni	238	234	4
miljonit	487	479	8
millal	145	57	88
mille	986	585	401
millega	236	129	107
milleks	120	52	68
millel	100	29	71
millele	144	75	69
milles	193	114	79
millest	301	139	162
milline	116	55	61
mina	839	142	697
mind	820	110	710
minema	286	65	221
mingeid	132	65	67
mingi	362	96	266
mingil	100	57	43
mingit	326	128	198
minna	451	181	270
minu	1071	291	780
minust	100	12	88
mis	4391	1750	2641
mitme	106	77	29
mitte	1737	708	1029
mitu	328	159	169
mu	857	83	774
muidu	249	69	180
muidugi	549	159	390
mul	834	152	682
mulle	894	141	753
must	105	27	78
musta	115	35	80
muu	171	100	71
muud	300	94	206
muusika	114	66	48
muuta	102	78	24
muutub	121	71	50
muutunud	193	82	111
muutus	132	28	104
mõelda	164	52	112
mõeldud	115	77	38
mõista	133	45	88
mõlemad	199	76	123
mõnda	115	41	74
mõne	354	146	208
mõned	303	149	154
mõni	409	150	259
mõnikord	124	29	95
mõte	171	47	124
mõtet	126	56	70
mõtles	227	13	214
mõtlesin	123	21	102
mõttes	164	59	105
mängu	116	84	32
märkas	113	10	103
märkis	197	190	7
märtsil	126	119	7
mööda	441	102	339
möödunud	198	165	33
nad	2190	645	1545
nagu	2961	673	2288
naine	694	125	569
naise	228	52	176
naised	160	79	81
naist	117	35	82
naiste	116	74	42
natuke	168	48	120
need	1175	464	711
neid	1227	465	762
neil	375	169	206
neile	383	191	192
neist	411	186	225
neli	232	147	85
nelja	110	78	32
nemad	189	58	131
nende	1527	689	838
nentis	111	101	10
nii	3523	1419	2104
niimoodi	109	21	88
niisama	132	36	96
niisiis	98	17	81
niisugune	138	25	113
nime	181	72	109
nimel	112	72	40
nimelt	147	63	84
nimi	175	34	141
ning	4409	2377	2032
no	144	29	115
noh	174	11	163
noor	171	52	119
noored	109	66	43
noormees	123	41	82
nõnda	246	27	219
nõuab	102	77	25
nõukogu	160	158	2
nõukogude	187	97	90
nõus	126	81	45
nädala	161	122	39
nädalal	133	124	9
nädalat	96	59	37
näe	135	40	95
näeb	170	91	79
nägi	251	35	216
nägin	140	22	118
nägu	232	26	206
näha	356	135	221
näinud	273	65	208
näis	135	11	124
näitab	125	90	35
näitas	116	50	66
näiteks	598	487	111
näo	107	10	97
nüüd	1772	485	1287
oh	101	10	91
ole	1735	911	824
oled	460	65	395
oleks	1695	681	1014
oleksid	188	66	122
oleksin	135	26	109
olema	624	325	299
olemas	235	121	114
oleme	311	155	156
olen	933	284	649
olete	157	39	118
olevat	404	156	248
olgu	173	59	114
oli	8861	2167	6694
olid	1666	458	1208
oligi	161	22	139
olime	118	24	94
olin	474	78	396
olla	1042	472	570
olnud	1445	588	857
olukord	105	90	15
oluline	116	93	23
oma	5329	2220	3109
omal	130	59	71
omavahel	131	64	67
ometi	457	91	366
on	19184	12422	6762
ongi	242	109	133
oodata	142	76	66
ootab	118	59	59
ootamatult	106	23	83
osa	540	425	115
osanud	185	62	123
osas	137	119	18
oska	136	54	82
osta	175	130	45
otsa	319	65	254
otsas	99	18	81
otse	243	59	184
otsekui	169	14	155
otsus	107	98	9
otsuse	116	107	9
otsustas	117	81	36
paar	309	112	197
paari	144	77	67
paistab	112	34	78
paistis	138	17	121
palju	1120	561	559
paljud	195	151	44
palun	106	18	88
pandud	138	69	69
paneb	133	51	82
panga	152	141	11
pani	227	53	174
pank	117	117	0
panna	271	133	138
pannud	108	28	80
paraku	109	83	26
parem	236	82	154
paremini	125	79	46
partei	126	111	15
pea	502	145	357
peaaegu	442	162	280
peab	871	553	318
pead	243	34	209
peaks	616	439	177
peaksid	126	91	35
peal	217	45	172
peale	1186	400	786
pealegi	173	45	128
pealt	143	54	89
peaminister	147	145	2
peamiselt	112	73	39
pean	176	52	124
peavad	239	189	50
peremees	116	23	93
pidada	181	108	73
pidanud	261	107	154
pidas	167	80	87
pidevalt	111	75	36
pidi	505	110	395
pidid	104	32	72
pigem	187	102	85
piisavalt	113	83	30
pika	107	41	66
pikk	186	56	130
pilgu	140	10	130
pilk	126	7	119
pilt	96	43	53
pisut	289	83	206
poeg	105	36	69
poisid	130	42	88
poiss	281	41	240
pole	2534	1412	1122
poleks	315	101	214
politsei	248	225	23
polnud	1193	181	1012
pool	390	173	217
poole	944	295	649
poolest	103	50	53
poolt	474	269	205
praegu	907	597	310
presidendi	113	111	2
president	265	255	10
protsenti	300	291	9
proua	124	15	109
puhul	331	259	72
puudub	95	78	17
põhjal	113	94	19
põhjust	119	77	42
päev	271	123	148
päeva	419	212	207
päeval	322	150	172
pähe	138	42	96
päike	109	15	94
pärast	1562	808	754
päris	437	133	304
pärit	119	88	31
püsti	138	20	118
püüdis	135	22	113
raha	831	643	188
rahu	120	41	79
rahulikult	98	30	68
rahva	206	141	65
rahvas	139	61	78
raske	355	174	181
riigi	401	365	36
riigikogu	301	300	1
riik	241	213	28
riikide	97	96	1
ringi	290	74	216
rohkem	829	491	338
räägib	154	95	59
rääkida	307	124	183
rääkis	311	176	135
sa	1677	98	1579
saa	867	446	421
saab	1004	704	300
saada	586	352	234
saadud	122	86	36
saaks	190	118	72
saama	155	75	80
saan	102	21	81
saanud	907	395	512
saata	106	61	45
saatis	125	66	59
saavad	265	215	50
sageli	145	90	55
sai	829	420	409
said	214	113	101
sain	151	49	102
saksa	198	139	59
sama	419	258	161
samal	248	149	99
samas	432	302	130
samuti	452	325	127
seadus	101	87	14
seaduse	122	114	8
seal	995	281	714
sealt	270	92	178
seas	137	91	46
seda	3177	1217	1960
see	6114	2249	3865
seega	217	170	47
seegi	96	45	51
seejärel	205	91	114
seekord	126	65	61
seepärast	165	75	90
sees	197	52	145
seetõttu	172	141	31
seina	95	13	82
seisab	149	52	97
seisis	268	16	252
seisma	132	28	104
seitse	113	72	41
sel	431	250	181
selga	100	16	84
selge	186	96	90
selgeks	102	58	44
selgitas	148	135	13
selgus	113	61	52
selja	119	17	102
seljas	102	19	83
selle	2337	1079	1258
sellega	357	168	189
selleks	427	242	185
sellel	189	72	117
sellele	377	194	183
sellepärast	215	63	152
selles	611	252	359
sellest	1019	419	600
selline	304	167	137
sellise	160	107	53
sellist	182	92	90
seni	278	218	60
seotud	193	148	45
sest	1766	858	908
siia	275	48	227
siin	1124	268	856
siis	4238	1336	2902
siiski	686	355	331
siit	184	46	138
silma	220	73	147
silmad	290	20	270
silmi	123	11	112
sina	333	12	321
sind	271	33	238
sinna	414	134	280
sinu	321	49	272
sisse	576	183	393
su	292	39	253
sugugi	109	51	58
suhted	96	77	19
suhteliselt	110	96	14
suhtes	218	164	54
sul	261	32	229
sulle	294	23	271
surma	152	59	93
surnud	125	52	73
suu	109	16	93
suuda	152	80	72
suunas	159	71	88
suur	578	263	315
suure	348	177	171
suured	162	81	81
suurem	181	122	59
suuri	102	64	38
suurt	215	105	110
suutnud	198	72	126
suvel	142	88	54
sõita	122	65	57
sõitis	136	63	73
sõna	306	110	196
sõnad	130	28	102
sõnas	154	113	41
sõnu	98	26	72
sõnul	974	971	3
süda	103	20	83
sügisel	104	77	27
sündinud	126	80	46
ta	10170	1925	8245
taas	315	180	135
taga	499	129	370
tagant	153	36	117
tagasi	1248	516	732
taha	483	150	333
tahab	241	128	113
tahad	96	18	78
tahaks	137	55	82
tahan	131	26	105
tahtis	181	27	154
tahtnud	231	30	201
tal	992	211	781
talle	963	173	790
talu	113	54	59
tarvis	147	54	93
tavaliselt	143	77	66
te	600	121	479
tea	474	95	379
teab	215	55	160
tead	140	7	133
teada	373	166	207
teadis	187	26	161
teadnud	187	31	156
tean	132	24	108
teatas	188	148	40
teatud	118	74	44
teda	1226	200	1026
tee	396	175	221
teeb	347	167	180
teed	224	64	160
teel	171	89	82
teevad	111	64	47
tegelikult	400	193	207
tegema	208	102	106
tegemist	267	177	90
tegi	456	164	292
tegid	100	41	59
tegu	115	65	50
teha	881	479	402
tehakse	100	66	34
tehtud	280	172	108
teid	137	24	113
teie	435	87	348
teil	142	27	115
teile	157	36	121
teine	533	244	289
teinud	373	182	191
teise	416	202	214
teised	292	110	182
teiseks	98	67	31
teisel	160	73	87
teisele	111	35	76
teises	112	61	51
teisiti	110	42	68
teist	230	95	135
teiste	237	140	97
tekib	99	79	20
tekkinud	115	75	40
tekkis	98	49	49
tema	2720	899	1821
temaga	166	31	135
temale	99	17	82
temast	188	32	156
terve	256	86	170
tihti	114	63	51
toas	113	11	102
tohi	184	94	90
toime	114	67	47
toimub	131	96	35
toimunud	96	81	15
too	255	48	207
toob	106	72	34
tuba	95	14	81
tuhat	123	56	67
tule	301	96	205
tuleb	1293	811	482
tuleks	250	191	59
tulema	102	44	58
tulevad	143	74	69
tuli	919	255	664
tulid	183	52	131
tulla	226	99	127
tulnud	435	146	289
tunda	136	49	87
tundi	150	65	85
tundis	237	19	218
tundnud	126	22	104
tundsin	100	8	92
tundub	164	100	64
tundus	218	28	190
tunne	212	58	154
tunnistas	95	63	32
tuntud	158	102	56
tuppa	114	12	102
tuua	101	63	38
tuul	103	31	72
tõenäoliselt	138	108	30
tõepoolest	194	61	133
tõesti	351	112	239
tõi	178	75	103
tõmbas	119	10	109
tõsi	123	38	85
tõsiselt	117	52	65
tõstis	135	29	106
tõttu	302	224	78
tõusis	195	43	152
tõusnud	106	58	48
tähelepanu	180	112	68
tähendab	256	135	121
tähtis	101	51	50
täiesti	353	140	213
täis	358	90	268
täna	467	230	237
tänava	114	69	45
tänaval	99	54	45
tänavu	223	216	7
tänu	153	105	48
täpselt	243	101	142
töö	361	235	126
tööd	290	174	116
tööle	177	107	70
tüdruk	299	14	285
tüdruku	96	6	90
uks	104	11	93
ukse	260	23	237
umbes	368	257	111
usu	121	52	69
uudised	126	119	7
uue	403	288	115
uued	113	70	43
uuesti	311	89	222
uus	338	216	122
uusi	135	84	51
uut	172	115	57
uute	107	87	20
vaadata	188	71	117
vaadates	118	33	85
vaata	106	12	94
vaatab	138	18	120
vaatama	140	39	101
vaatamata	135	81	54
vaatas	363	15	348
vaatasin	97	4	93
vaba	131	70	61
vaevalt	130	45	85
vahel	720	296	424
vahele	256	78	178
vahelt	109	12	97
vahepeal	97	41	56
vaid	1720	935	785
vaikselt	114	18	96
vaja	515	280	235
valge	199	49	150
valitsus	211	200	11
valitsuse	300	290	10
valmis	333	169	164
vana	451	130	321
vanaema	167	13	154
vanem	101	19	82
vara	144	99	45
varem	385	243	142
varsti	186	39	147
vastas	282	75	207
vastavalt	114	102	12
vastu	1543	687	856
vee	119	67	52
veel	2550	929	1621
veelgi	172	89	83
veidi	307	122	185
vene	608	474	134
vesi	132	65	67
vett	125	46	79
viga	114	47	67
viia	150	96	54
viie	118	84	34
viimane	230	118	112
viimase	194	134	60
viimasel	167	105	62
viis	403	211	192
vist	353	78	275
võeti	98	59	39
võetud	143	88	55
või	3310	1504	1806
võib	1273	947	326
võibolla	163	67	96
võib-olla	301	40	261
võiks	456	273	183
võimalik	447	306	141
võimalus	173	126	47
võimalust	109	64	45
võimatu	111	47	64
võinud	162	25	137
võis	407	75	332
võivad	234	189	45
võrra	167	141	26
võrreldes	143	131	12
võta	108	32	76
võtab	213	115	98
võtma	120	47	73
võtnud	175	83	92
võtta	452	235	217
võttis	399	96	303
võõras	159	10	149
väga	1142	592	550
vähe	218	101	117
vähem	261	170	91
vähemalt	386	216	170
väike	277	96	181
väikese	146	49	97
väitis	100	81	19
välja	2008	877	1131
väljas	99	17	82
õhku	118	22	96
õhtul	316	160	156
õieti	131	23	108
õige	266	97	169
õigus	210	111	99
õpetaja	105	48	57
äkki	314	33	281
ära	1878	607	1271
ääres	158	44	114
öelda	409	164	245
öelnud	157	60	97
öösel	151	72	79
üha	172	56	116
ühe	707	399	308
ühel	278	72	206
ühes	166	76	90
ühest	115	50	65
üht	112	46	66
ühte	149	60	89
ühtegi	121	48	73
üks	1402	708	694
üksi	169	30	139
ükski	136	68	68
üksnes	162	73	89
üldse	464	157	307
üle	1789	861	928
ülejäänud	101	68	33
üles	595	175	420
ülikooli	238	198	40
ümber	551	176	375
üsna	272	123	149
ütleb	336	147	189
ütles	1949	946	1003
ütlesin	152	23	129

